,id,name,geometry
1222704,3113,Greenpoint Ave & Manhattan Ave,POINT (-73.95394 40.73025999999999)
1224844,3115,India St & Manhattan Ave,POINT (-73.95508580000001 40.73232194)
1226528,3116,Huron St & Franklin St,POINT (-73.95826 40.73266)
1228450,3117,Franklin St & Dupont St,POINT (-73.95865999999999 40.73564)
1229957,3118,McGuinness Blvd & Eagle St,POINT (-73.95284000000001 40.73555)
1231704,3119,Vernon Blvd & 50 Ave,POINT (-73.95411749 40.74232744)
1234408,3120,Center Blvd & Borden Ave,POINT (-73.96044000000001 40.74160999999999)
1235344,3121,Jackson Ave & 46 Rd,POINT (-73.94733275999999 40.74524768)
1236031,3122,48 Ave & 5 St,POINT (-73.95587325096129 40.74436328706688)
1236587,3123,31 St & Thomson Ave,POINT (-73.93540375000001 40.74469738)
1237067,3124,46 Ave & 5 St,POINT (-73.95451 40.74731)
1238846,3125,45 Rd & 11 St,POINT (-73.94977234 40.74708586)
1240003,3126,44 Dr & Jackson Ave,POINT (-73.9432635 40.74718234)
1241838,3127,9 St & 44 Rd,POINT (-73.9521 40.74966)
1242419,3128,21 St & 43 Ave,POINT (-73.94594845 40.75052534)
1242716,3129,Queens Plaza North & Crescent St,POINT (-73.94073717000001 40.75110165)
1245881,3130,21 St & Queens Plaza North,POINT (-73.94335787999999 40.75325964)
1246705,3131,E 68 St & 3 Ave,POINT (-73.96224617958069 40.76712840349542)
1248107,3132,E 59 St & Madison Ave,POINT (-73.97109243 40.76350532)
1250432,3134,3 Ave & E 62 St,POINT (-73.96526895 40.76312584)
1252263,3135,E 75 St & 3 Ave,POINT (-73.95772297000001 40.77112927)
1253568,3136,5 Ave & E 63 St,POINT (-73.971518 40.766368)
1256550,3137,5 Ave & E 73 St,POINT (-73.96685275999999 40.77282817)
1263360,3139,E 72 St & Park Ave,POINT (-73.96409422159195 40.77118287540658)
1264664,3140,1 Ave & E 78 St,POINT (-73.9535166 40.77140426)
1268711,3141,1 Ave & E 68 St,POINT (-73.95818491 40.76500525)
1274794,3142,1 Ave & E 62 St,POINT (-73.96094022 40.7612274)
1279289,3143,5 Ave & E 78 St,POINT (-73.96427392959596 40.77632142182271)
1283564,3144,E 81 St & Park Ave,POINT (-73.95900970000001 40.77677702)
1284188,3145,E 84 St & Park Ave,POINT (-73.95772073000001 40.77862688)
1285625,3146,E 81 St & 3 Ave,POINT (-73.9567526 40.77573034)
1287509,3147,E 85 St & 3 Ave,POINT (-73.95407149 40.77801203)
