,address,lng,lat
345,400 PACIFIC,-117.3842775,33.1963074
346,140 BOND STREET,-76.6985436,39.7329315
347,360 PACIFIC STREET,-73.98644139999999,40.6865852
348,300 WARREN STREET,-73.9928855,40.6858595
349,380 WARREN STREET,-71.08182029999999,42.3179953
350,100 3RD AVENUE,-73.988214,40.7325413
351,560 STATE STREET,-73.97864109999999,40.6851619
352,490 PACIFIC STREET,-73.9814253,40.6845473
353,40 DEAN STREET,-0.1321914,51.5133543
354,120 BOERUM PLACE,-73.991841,40.6877497
355,50 DEAN STREET,-73.991165,40.687584
356,10 BERGEN STREET,-73.99297729999999,40.6875341
357,320 BERGEN STREET,-73.9815284,40.6830633
358,330 BERGEN STREET,-73.9809901,40.6829352
359,430 WARREN STREET,-73.787448,42.250585
360,80 SMITH STREET,-87.24913699999999,39.833591
361,450 ATLANTIC AVENUE,-73.9833675,40.6861643
362,550 STATE STREET,-73.97899699999999,40.6852994
363,550 ATLANTIC AVENUE,-73.9797431,40.6847001
364,230 PACIFIC STREET,-73.9915133,40.6885895
365,80 DEAN STREET,-71.4759219,41.76756839999999
366,400 PACIFIC STREET,-73.9847559,40.6859223
367,330 WARREN STREET,-73.7900145,42.25237
368,280 WARREN STREET,-73.993481,40.686043
369,370 BALTIC STREET,-73.9904637,40.68411529999999
370,40 3RD AVENUE,-70.8461611,41.9987985
371,430 ATLANTIC AVENUE,-76.74861030000001,39.9672088
372,1220 37TH STREET,-81.9482178,26.5837004
373,250 DAHILL ROAD,-73.98044329999999,40.6411492
374,1640 43RD STREET,-111.9901392,33.467185
375,1560 43RD STREET,-73.98285369999999,40.6346851
376,1640 45TH STREET,-122.21134,37.7732623
377,10 WEBSTER AVENUE,-74.04998499999999,40.738676
378,1960 51ST STREET,-91.6669216,42.0302035
379,1720 51ST STREET,-73.983749,40.6279085
380,1660 53RD STREET,-73.9241218,40.6179445
381,1630 53 STREET,-73.9871581,40.62816979999999
382,1610 53RD STREET,-85.331895,34.9905554
383,1020 DAHILL ROAD,-73.9769548,40.6228863
384,1040 DAHILL ROAD,-73.9768749,40.6224401
385,1880 54TH STREET,-73.9820158,40.6241139
386,1950 53RD STREET,-73.97987499999999,40.623688
387,1980 54 STREET,-82.7069975,27.7900874
388,1910 54TH STREET,-80.12072189999999,26.1943912
389,1710 54 STREET,-73.9857692,40.6263772
390,5510 18TH AVENUE,-73.9848509,40.6247578
391,1750 56TH STREET,-73.98599870000001,40.6247272
392,1510 57TH STREET,-87.8286679,42.58303799999999
393,1720 56TH STREET,-73.98679400000002,40.6251279
394,10 DAHL COURT,-73.984385,40.622569
395,2040 57TH STREET,-73.9801793,40.6202946
396,2070 58TH STREET,-73.980131,40.619281
397,1840 58TH STREET,-73.9851838,40.6223971
398,1850 58TH STREET,-73.9849657,40.6222792
399,1500 60TH STREET,-97.355296,35.154969
400,1850 61ST STREET,-73.98673330000001,40.6205377
401,1840 63RD STREET,-122.2694245,37.8478948
402,1880 64TH STREET,-89.866463,43.704522
403,2040 65TH STREET,-73.98503459999999,40.6156933
404,2160 64TH STREET,-73.9817288,40.6147408
405,1190 44TH STREET,-73.9919902,40.6392681
406,1360 46TH STREET,-121.4481727,38.5640991
407,840 51ST STREET,-122.2689688,37.8363635
408,5110 10TH AVENUE,-74.0093085,40.7400256
409,880 52ND STREET,-74.00303,40.638609
410,820 54TH STREET,-122.270462,37.8389878
411,1450 54TH STREET,-73.99169180000001,40.6299826
412,1040 56TH STREET,-122.2796332,37.8395696
413,1170 62ND STREET,-74.00258389999999,40.6291573
414,1130 63RD STREET,-93.70412689999999,41.5988807
415,1140 64TH STREET,-87.88264699999999,41.773812
416,6200 24TH AVENUE,-122.387227,47.6740581
417,2420 63RD STREET,-73.97537,40.611798
418,1670 43RD STREET,-73.9804149,40.6331864
419,530 DAHILL ROAD,-73.9791864,40.634556
420,30 LAWRENCE AVENUE,-75.3394398,39.9753607
421,40 WEBSTER AVENUE,-73.09963599999999,40.8409832
422,1540 52ND STREET,-73.9886272,40.6299251
423,5200 20TH AVENUE,-121.4453389,38.5330248
424,1540 57TH STREET,-73.99150829999999,40.6271137
425,2050 58TH STREET,-73.980581,40.6196457
426,4100 12TH AVENUE,-93.2577733,44.9286341
427,1460 42ND STREET,0.0,0.0
428,1340 49TH STREET,-73.9912327,40.6342492
429,4910 11TH AVENUE,-118.3290489,33.9986086
430,1260 49TH STREET,-73.9928532,40.635324
431,1430 50TH STREET,-87.6612057,41.8033915
432,1340 51ST STREET,-73.9924034,40.6331196
433,1050 55TH STREET,-121.4364779,38.56415
434,1400 56TH STREET,-80.1307767,26.195975
435,1320 59TH STREET,-88.01698909999999,41.78037640000001
436,1200 65TH STREET,-122.2886928,37.8477218
437,1210 64TH STREET,-74.002771,40.6275547
438,1210 65TH STREET,-74.0036533,40.62704360000001
439,1230 65TH STREET,-74.0031807,40.6266503
440,550 DAHILL ROAD,-73.9790186,40.6339484
441,1900 51ST STREET,-73.9797449,40.6254502
442,1850 52ND STREET,-73.98162789999999,40.6258427
443,860 54TH STREET,-74.0046557,40.6379084
444,4720 8TH AVENUE,-104.9324288,39.7290862
445,4710 8TH AVENUE,-75.9216118,40.4060123
446,3710 15TH AVENUE,-73.9811205,40.6389735
447,1840 52ND STREET,-73.98209039999999,40.6260637
448,1220 49TH STREET,-118.2535988,33.9987612
449,1220 49 STREET,-118.2535988,33.9987612
450,860 50TH STREET,-121.4422365,38.5678072
451,870 50TH STREET,-101.8440689,33.5488842
452,960 50TH STREET,-74.00024259999999,40.6387653
453,820 57TH STREET,-94.5984605,39.0246802
454,830 57TH STREET,-106.334951,42.7983297
455,850 60TH STREET,-74.0084098,40.6345135
456,2230 62ND STREET,-73.978974,40.6149496
457,6210 24TH AVENUE,-73.9756697,40.6128208
458,1330 40TH STREET,-111.7457691,33.4399707
459,1600 45TH STREET,-93.67929939999999,41.6077671
460,1570 46TH STREET,-73.9843574,40.632839
461,4500 15TH AVE,-93.25394279999999,44.9213983
462,1560 48TH STREET,-73.9858266,40.6318872
463,5020 15TH AVENUE,-122.3115991,47.665584
464,1520 53 STREET,-82.70499230000001,27.7549697
465,1710 61ST STREET,-93.301776,44.8914039
466,1720 61ST STREET,-73.98971759999999,40.6223148
